p,v,cp,rcp,a,ba,sa,hl,pcp,t
3000.0,10000,0.0,0.0,SD,204900.0,210500.0,False,0.0,14:59:26
3000.0,20000,0.0,0.0,SD,204900.0,200500.0,False,0.0,14:58:58
3000.0,100,0.0,0.0,SD,204900.0,180500.0,False,-100.0,14:54:46
3100.0,36200,100.0,0.0,BU,204900.0,180400.0,False,0.0,14:53:56
3100.0,3600,100.0,0.0,BU,168700.0,180400.0,False,0.0,14:53:44
3100.0,3000,100.0,0.0,BU,165100.0,180400.0,False,0.0,14:53:01
3100.0,2600,100.0,0.0,BU,162100.0,180400.0,False,0.0,14:51:11
3100.0,100,100.0,0.0,BU,159500.0,180400.0,False,0.0,14:50:02
3100.0,2200,100.0,0.0,BU,159400.0,180400.0,False,0.0,14:49:35
3100.0,2000,100.0,0.0,BU,157200.0,180400.0,False,0.0,14:47:55
3100.0,100,100.0,0.0,BU,155200.0,180400.0,False,100.0,14:47:38
3000.0,3400,0.0,0.0,SD,155100.0,180400.0,False,-100.0,14:47:37
3100.0,100,100.0,0.0,BU,155100.0,177000.0,False,0.0,14:47:27
3100.0,1700,100.0,0.0,BU,155000.0,177000.0,False,0.0,14:46:33
3100.0,2000,100.0,0.0,BU,153300.0,177000.0,False,0.0,14:44:45
3100.0,3200,100.0,0.0,BU,151300.0,177000.0,False,0.0,14:44:18
3100.0,2200,100.0,0.0,BU,148100.0,177000.0,False,0.0,14:42:20
3100.0,1600,100.0,0.0,BU,145900.0,177000.0,False,0.0,14:40:45
3100.0,2500,100.0,0.0,BU,144300.0,177000.0,False,100.0,14:39:49
3000.0,3000,0.0,0.0,SD,141800.0,177000.0,False,-100.0,14:37:17
3100.0,3500,100.0,0.0,BU,141800.0,174000.0,False,0.0,14:36:23
3100.0,2800,100.0,0.0,BU,138300.0,174000.0,False,0.0,14:36:10
3100.0,3600,100.0,0.0,BU,135500.0,174000.0,False,0.0,14:35:53
3100.0,2000,100.0,0.0,BU,131900.0,174000.0,False,0.0,14:32:44
3100.0,1200,100.0,0.0,BU,129900.0,174000.0,False,100.0,14:30:16
3000.0,1000,0.0,0.0,SD,128700.0,174000.0,False,-100.0,14:30:02
3100.0,100,100.0,0.0,BU,128700.0,173000.0,False,100.0,14:29:48
3000.0,1800,0.0,0.0,SD,128600.0,173000.0,False,-100.0,14:29:47
3100.0,100,100.0,0.0,BU,128600.0,171200.0,False,100.0,14:29:30
3000.0,3400,0.0,0.0,SD,128500.0,171200.0,False,-100.0,14:29:29
3100.0,2000,100.0,0.0,BU,128500.0,167800.0,False,100.0,14:28:34
3000.0,18400,0.0,0.0,BU,126500.0,167800.0,False,0.0,14:25:50
3000.0,5900,0.0,0.0,BU,108100.0,167800.0,False,0.0,14:25:42
3000.0,16000,0.0,0.0,BU,102200.0,167800.0,False,0.0,14:25:30
3000.0,1000,0.0,0.0,BU,86200.0,167800.0,False,100.0,14:24:25
2900.0,100,-100.0,0.0,SD,85200.0,167800.0,False,-100.0,14:23:31
3000.0,2000,0.0,0.0,BU,85200.0,167700.0,False,0.0,14:22:57
3000.0,200,0.0,0.0,BU,83200.0,167700.0,False,0.0,14:22:43
3000.0,800,0.0,0.0,BU,83000.0,167700.0,False,0.0,14:22:34
3000.0,700,0.0,0.0,BU,82200.0,167700.0,False,0.0,14:22:02
3000.0,55000,0.0,0.0,SD,81500.0,167700.0,False,0.0,14:21:09
3000.0,1000,0.0,0.0,SD,81500.0,112700.0,False,-100.0,14:14:25
3100.0,1000,100.0,0.0,BU,81500.0,111700.0,False,0.0,14:12:24
3100.0,1000,100.0,0.0,BU,80500.0,111700.0,False,100.0,14:08:49
3000.0,10000,0.0,0.0,SD,79500.0,111700.0,False,0.0,14:07:44
3000.0,600,0.0,0.0,SD,79500.0,101700.0,False,0.0,14:02:35
3000.0,2000,0.0,0.0,SD,79500.0,101100.0,False,0.0,14:02:33
3000.0,100,0.0,0.0,SD,79500.0,99100.0,False,0.0,13:56:08
3000.0,800,0.0,0.0,SD,79500.0,99000.0,False,0.0,13:55:00
3000.0,2000,0.0,0.0,SD,79500.0,98200.0,False,0.0,13:40:48
